Gene,F_score,p_value,p_value_FDR,Rejected_FDR_0.05
KIF23,652.7821196925566,0.0,0.0,True
CENPA,651.2913183363636,0.0,0.0,True
EFHD1,650.4363166193908,0.0,0.0,True
TPO,650.4247811648702,0.0,0.0,True
ENAM,650.4221973502421,0.0,0.0,True
CPB2,650.0770389986421,0.0,0.0,True
CDCA8,649.112761211321,0.0,0.0,True
TMEM174,648.3499231965751,0.0,0.0,True
ALDH8A1,648.3074265192952,0.0,0.0,True
GSTP1,648.2751686648417,0.0,0.0,True
KIF2C,645.2139121023749,0.0,0.0,True
TMPRSS4,644.1305518197446,0.0,0.0,True
GPR87,643.4550636479789,0.0,0.0,True
HJURP,643.2690026461589,0.0,0.0,True
ANGPTL3,643.2232166908,0.0,0.0,True
MMP13,642.6800149000635,0.0,0.0,True
CRYAB,642.5512781715963,0.0,0.0,True
CLTRN,642.4632879210135,0.0,0.0,True
AGR2,641.9501149128432,0.0,0.0,True
TRIP13,641.8989917317676,0.0,0.0,True
CDC25C,641.3606133502785,0.0,0.0,True
PAX2,640.734619973259,0.0,0.0,True
CRYGN,640.4313467652488,0.0,0.0,True
TNS4,639.6228274538659,0.0,0.0,True
ITIH6,638.9599999037536,0.0,0.0,True
KLKB1,638.8848800435662,0.0,0.0,True
HAVCR1,638.5186714399831,0.0,0.0,True
REG4,638.3349339436033,0.0,0.0,True
KLF5,637.3045998130381,0.0,0.0,True
ASPM,636.90347749996,0.0,0.0,True
KIF4A,636.2686286179676,0.0,0.0,True
PON3,636.1426931475793,0.0,0.0,True
HGD,635.6983389882527,0.0,0.0,True
KL,634.1893907432262,0.0,0.0,True
CRP,633.6883668458557,0.0,0.0,True
SALL1,632.8046928423082,0.0,0.0,True
FGFBP1,632.6665093708817,0.0,0.0,True
MKI67,632.4391525463934,0.0,0.0,True
SNX22,631.2046476943608,0.0,0.0,True
PAK6,631.0470116623451,0.0,0.0,True
AADAC,631.019287231641,0.0,0.0,True
PLPP3,630.8456299651014,0.0,0.0,True
FERMT1,630.6673161704495,0.0,0.0,True
DDIAS,629.4591108303322,0.0,0.0,True
TMPRSS11D,629.3545696998785,0.0,0.0,True
FOXM1,629.0709610827225,0.0,0.0,True
MELK,628.3235057140522,0.0,0.0,True
ELAPOR1,627.3719891472227,0.0,0.0,True
OR10J6P,627.3315409436369,0.0,0.0,True
RDH11,626.8822417802278,0.0,0.0,True
FAM83E,626.3913328671352,0.0,0.0,True
CPN1,626.1026865321359,0.0,0.0,True
NME5,625.0263677326179,0.0,0.0,True
COL23A1,622.0850981493552,0.0,0.0,True
MTHFD2,622.0397537502324,0.0,0.0,True
CCNA2,621.2893697250219,0.0,0.0,True
SIX4,621.0166789349183,0.0,0.0,True
SKA1,620.4202905188263,0.0,0.0,True
IL36RN,620.3909004948385,0.0,0.0,True
AMN,618.777878896484,0.0,0.0,True
CEACAM6,618.7248778250298,0.0,0.0,True
SERPINA10,618.1833474360329,0.0,0.0,True
C4BPA,617.3020996912317,0.0,0.0,True
THRSP,617.1858273122551,0.0,0.0,True
SGO1,616.8293751442445,0.0,0.0,True
SYTL1,616.469069919201,0.0,0.0,True
CDCA5,615.9385163433003,0.0,0.0,True
LRP2,615.5910700903178,0.0,0.0,True
DQX1,612.2985719010212,0.0,0.0,True
SCEL,610.995406635704,0.0,0.0,True
ZNF750,610.7195924290488,0.0,0.0,True
KNG1,610.7041524818056,0.0,0.0,True
LYPLAL1,610.4095577411965,0.0,0.0,True
C16orf89,608.7645628595535,0.0,0.0,True
TBX5,608.7044350934262,0.0,0.0,True
FGL1,608.5239917275691,0.0,0.0,True
CCNB2,607.4693660157074,0.0,0.0,True
PPP3CA,606.835186177483,0.0,0.0,True
LDAF1,605.7648463954506,0.0,0.0,True
COL10A1,605.2769591750553,0.0,0.0,True
CDKN3,604.5384346915978,0.0,0.0,True
HSD17B6,604.4610538114532,0.0,0.0,True
SLC5A10,604.2515086831655,0.0,0.0,True
LMX1B,604.2359031498278,0.0,0.0,True
ZG16B,603.5457195200224,0.0,0.0,True
CASZ1,603.4704475668001,0.0,0.0,True
CLEC18C,602.7304201929776,0.0,0.0,True
SOX15,600.8390211523687,0.0,0.0,True
CYP2S1,600.5415806872221,0.0,0.0,True
CYP2C9,600.2619556077877,0.0,0.0,True
TMEM40,600.191369736337,0.0,0.0,True
ABCC6,599.9934424353742,0.0,0.0,True
NR0B2,599.9200541256633,0.0,0.0,True
SLC6A12,599.7630233233882,0.0,0.0,True
ANGPTL8,599.7287193908076,0.0,0.0,True
SYT7,599.7216065312678,0.0,0.0,True
GTSE1,599.2497838176805,0.0,0.0,True
ARHGEF4,599.1154863123927,0.0,0.0,True
CAB39L,599.0348394378912,0.0,0.0,True
CCNF,598.1792770345073,0.0,0.0,True
GDA,597.2676652015236,0.0,0.0,True
ELF4,597.0603494028757,0.0,0.0,True
TFR2,594.0504548939806,0.0,0.0,True
C5,594.0493178736556,0.0,0.0,True
FOLH1,592.8384352605099,0.0,0.0,True
TOP2A,592.799786636659,0.0,0.0,True
TMEM176A,592.6735335525109,0.0,0.0,True
CDC45,592.440573296363,0.0,0.0,True
KIF11,592.406879892192,0.0,0.0,True
DDC,592.2275705027072,0.0,0.0,True
TICRR,591.9490575532244,0.0,0.0,True
