CDH3	532.3935168005327
CHAF1B	531.9880533603838
ATG101	531.4006881830843
ACVR1C	530.9937572258137
ABTB3	530.1403294478296
AUNIP	530.1274692731116
BOD1L1	529.9512070861388
AQR	529.5230873451069
CD37	529.5059853928293
ADGRG5	529.2734783208448
CFAP69	529.186167042198
ARMC9	528.8153533618876
ARSL	528.4792993757438
CCNP	527.5801519614664
BNIP3L	527.4171120461496
ACP4	527.3318440326713
ANKRA2	527.1598802977827
CD180	526.7094510330987
BCL6	526.6841346619585
CEP89	526.6382494733198
BMERB1	526.5812629029757
ATP5PF	526.3681430751467
CCNDBP1	525.881077358815
ASTN2	525.7891586531838
ANKRD2	525.6212509911903
ANGPTL8	524.8231095207653
CD1C	524.582822927649
AOC3	524.2296456208713
ACTR1A	523.7424335144119
CAPG	523.682713781327
ABCB9	523.5529885032234
BRAF	523.5045075528928
CCDC74B	523.4209312908273
BCO1	522.4787479849423
BCAS4	522.451483738576
CAPN15	521.9986816507138
CASP1	521.930455340784
BIRC5	521.7890151098492
BRCA2	520.507249100533
BTF3L4	520.407005946771
ALPL	519.8440913219716
AKAP9	519.2181030339086
ARL8A	519.2120276538858
CCDC34	518.668377221018
ARHGAP40	518.4850180293531
BICDL2	518.3280489935946
AAK1	517.6901910290208
BMAL1	517.2547483939245
ABHD1	516.8701208184478
ACAT2	516.8311707313798
ADGRB2	515.8537108467596
CDK5	515.7925624862964
APBA3	515.3691736959688
ATP6V0D1	514.6408893943209
CAB39	514.3702892264295
ADRM1	513.6011396848494
CELF5	513.5025979814916
CC2D2A	511.8333947606662
BCL2L14	511.64249909877515
BCL10	511.6189270724973
ACTR10	511.4059093444723
BLNK	510.90293145459367
BID	510.5243470954946
CAMK2D	510.3556559841867
AHSG	510.13424007169266
AEBP2	509.19436109952755
CENPB	509.15615499094395
CAPN9	508.88110347554255
CEP70	508.4307130906298
APOA2	508.37689053471956
AGPAT3	508.14733885492205
ABRAXAS1	507.9672176639242
CCDC62	507.84871505049006
CEP192	507.4537161990813
